domain,attribute,recipient,transmission,stimulus,stimulus_non_garden_path
healthcare_information,medical appointment,course instructor,to explain a scheduling conflict,How acceptable is it for you to share that you had a medical appointment with your course instructor to explain a scheduling conflict?,How acceptable is it to tell your course instructor that you had a medical appointment to explain a scheduling conflict?
healthcare_information,type of medical procedure,workplace supervisor,to coordinate scheduling,How acceptable is it for you to share the type of medical procedure you had with your workplace supervisor to coordinate scheduling?,How acceptable is it to tell your workplace supervisor the type of medical procedure you had to coordinate scheduling?
healthcare_information,specific medical details from a doctor's note,administrative staff,to request accommodations,How acceptable is it for you to share specific medical details from a doctor's note with administrative staff to request accommodations?,How acceptable is it to tell administrative staff specific medical details from a doctor's note to request accommodations?
healthcare_information,your stress about a recent medical procedure,colleague,to ask for advice about handling work responsibilities,How acceptable is it for you to share your stress about a recent medical procedure with a colleague to ask for advice about handling work responsibilities?,How acceptable is it to tell a colleague about your stress about a recent medical procedure to ask for advice about handling work responsibilities?
law_enforcement_records,court appointment,course instructor,to explain missing a deadline,How acceptable is it for you to share that you have a court appointment with your course instructor to explain missing a deadline?,How acceptable is it to tell your course instructor that you have a court appointment to explain missing a deadline?
law_enforcement_records,involvement in a legal case,workplace supervisor,to coordinate work responsibilities,How acceptable is it for you to share that you are involved in a legal case with your workplace supervisor to coordinate work responsibilities?,How acceptable is it to tell your workplace supervisor that you are involved in a legal case to coordinate work responsibilities?
law_enforcement_records,details of a legal citation,administrative staff,to request assistance,How acceptable is it for you to share details of a legal citation with administrative staff to request assistance?,How acceptable is it to tell administrative staff details of a legal citation to request assistance?
law_enforcement_records,your worries about an ongoing legal issue,colleague,to ask for advice about managing a work situation,How acceptable is it for you to share your worries about an ongoing legal issue with a colleague to ask for advice about managing a work situation?,How acceptable is it to tell a colleague about your worries about an ongoing legal issue to ask for advice about managing a work situation?
financial_information,financial appointment with a bank,course instructor,to explain a delay,How acceptable is it for you to share that you had a financial appointment with a bank with your course instructor to explain a delay?,How acceptable is it to tell your course instructor that you had a financial appointment with a bank to explain a delay?
financial_information,financial hardship,workplace supervisor,to coordinate work responsibilities,How acceptable is it for you to share that you are experiencing financial hardship with your workplace supervisor to coordinate work responsibilities?,How acceptable is it to tell your workplace supervisor that you are experiencing financial hardship to coordinate work responsibilities?
financial_information,details about personal debt,administrative staff,to request accommodations,How acceptable is it for you to share details about personal debt with administrative staff to request accommodations?,How acceptable is it to tell administrative staff details about personal debt to request accommodations?
financial_information,your stress about financial problems,colleague,to ask for advice about handling workplace responsibilities,How acceptable is it for you to share your stress about financial problems with a colleague to ask for advice about handling workplace responsibilities?,How acceptable is it to tell a colleague about your stress about financial problems to ask for advice about handling workplace responsibilities?
education_records,academic advising appointment,course instructor,to explain a scheduling conflict,How acceptable is it for you to share that you had an academic advising appointment with your course instructor to explain a scheduling conflict?,How acceptable is it to tell your course instructor that you had an academic advising appointment to explain a scheduling conflict?
education_records,information about your recent exam performance,workplace supervisor,to coordinate work responsibilities,How acceptable is it for you to share information about your recent exam performance with your workplace supervisor to coordinate work responsibilities?,How acceptable is it to tell your workplace supervisor information about your recent exam performance to coordinate work responsibilities?
education_records,a detailed explanation of failing a course,administrative staff,to request accommodations,How acceptable is it for you to share a detailed explanation of failing a course with administrative staff to request accommodations?,How acceptable is it to tell administrative staff a detailed explanation of failing a course to request accommodations?
education_records,your anxiety about academic performance,colleague,to ask for advice about managing work and academic responsibilities,How acceptable is it for you to share your anxiety about academic performance with a colleague to ask for advice about managing work and academic responsibilities?,How acceptable is it to tell a colleague about your anxiety about academic performance to ask for advice about managing work and academic responsibilities?
public_records,address listed in public records,course instructor,to explain a delay,How acceptable is it for you to share your address listed in public records with your course instructor to explain a delay?,How acceptable is it to tell your course instructor your address listed in public records to explain a delay?
public_records,public record of property ownership,workplace supervisor,to coordinate scheduling,How acceptable is it for you to share a public record of property ownership with your workplace supervisor to coordinate scheduling?,How acceptable is it to tell your workplace supervisor about a public record of property ownership to coordinate scheduling?
public_records,details from a public legal filing about you,administrative staff,to provide documentation when requesting accommodations,How acceptable is it for you to share details from a public legal filing about you with administrative staff to provide documentation when requesting accommodations?,How acceptable is it to tell administrative staff details from a public legal filing about you to provide documentation when requesting accommodations?
public_records,your frustration about information about you being publicly available,colleague,to ask for advice about handling a workplace situation,How acceptable is it for you to share your frustration about information about you being publicly available with a colleague to ask for advice about handling a workplace situation?,How acceptable is it to tell a colleague about your frustration about information about you being publicly available to ask for advice about handling a workplace situation?
